SKU,Name,"In stock?","Regular price"
SM-F956BZSGAFA-1,"Galaxy Z Fold6 5G (Cópia) - Cinza, 512GB",1,2998000
EF-OA156TBEGWW,"Capa Galaxy A15 c/Slot Cartões Preto",1,19500
EF-BX110TBEGWW,"Capa Livro Galaxy Tab A9 8.7"" Preto",1,44900
EF-PA356TBEGWW,"Capa Galaxy A35 Silicone Preto",1,29900
EF-PA556TBEGWW,"Capa Galaxy A55 Silicone Preto",1,29900
GP-FPA055VAATW,"Capa Galaxy A05 Silicone Transparente",1,9900
EF-OA256TBEGWW,"Capa Galaxy A25 c/Slot Cartões Preto",1,22500
EP-L4020NBEGWW,"Carregador Carro Super Rápido 40W",1,44000
AR09TQHGAWK/FA,"MURAL SAMSUNG AR3000M 09 R410A H/P",1,"416875,01"
AR12TQHGAWK/FA,"MURAL SAMSUNG AR3000M 12 R410A H/P     ",1,"474375,01"
AR18TQHGAWK/FA,"MURAL SAMSUNG AR3000M 18 R410A H/P     ",1,"646875,00"
AR24TQHGAWK/FA,"MURAL SAMSUNG AR3000M 24 R410A H/P",1,"805000,00"
NAP035-3265,"Suporte TV NAPOFIX de Parede 32-65 Inclinavel",1,34900
NAP040-3790,"Suporte TV NAPOFIX de Parede 37-90 Inclinavel",1,39900
NAP050-2665,"Suporte TV NAPOFIX de Parede 26-65 Inclinavel 1 Braço",1,39900
NAP275-3770,"Suporte TV NAPOFIX de Parede 37-70 Inclinavel 2 Braços",1,89000
NAP276-4290,"Suporte TV NAPOFIX de Parede 42-90 Inclinavel 4 Braços",1,179000
NAP279-3265,"Suporte TV NAPOFIX de Teto 32-65",1,"119000,00"
NAP280-4290,"Suporte TV NAPOFIX de Teto 42-90",1,159000
NAPHA600,"Hastes p/ Suporte de Teto TV NAPOFIX 600mm",1,39800
NAPKL-2,"Liquido de limpeza Napofix 200ml c/Pano",1,9800
NAPVW1800,"Suporte TV NAPOFIX de Parede 43-90 com Hastes extensíveis",1,99000
NAPVWA1125B,"Suporte TV NAPOFIX Móvel Horizontal / Vertical - Preto 37-70",1,699000
NAPVWA1165,"Suporte TV NAPOFIX Movel Horizontal - CINZA 50-86",1,279000
NAPWM600M,"Suporte TV NAPOFIX de Parede 32-74 Elétrico c/Comando",1,399000
UA50CU7000KXXA,"TV SAMSUNG 50"" UHD 4K FLAT SMART TV - CU7000 (2023) SA     ",1,749000
SM-S918BZECAFA,"Galaxy S23 Ultra 5G DS 12+256GB BEGE",1,
,"Galaxy S23 Ultra 5G DS 12+256GB BEGE - Bege",1,1780000
NAPFMT600T,"Suporte TV NAPOFIX de Chao Tripe 37-70",1,129000
,"Galaxy S23+ DS 8+256GB PRETO - Preto",1,1580000
SM-R630NZAAXFA,"Galaxy Buds3 Pro",1,"349000,00"
EP-T2510NBEGWW,"Adaptador Viagem (25W) Samsung (2024)",1,34900
EF-OF95PCJEGWW,"Capa Slim Galaxy Z Fold6 c/ Pen",1,98000
,"Cabo USB 5A (USB-C to USB-C) 1.8m",1,21800
EF-QF741CTEGWW,"Capa Galaxy Z Flip6 Transparente c/ Anel",1,44800
RF48A4000M9/ME,"FRIGORÍFICO FRENCH DOOR SAMSUNG (511L)",1,
,"FRIGORÍFICO FRENCH DOOR SAMSUNG (511L) - Preto",1,1890000
SM-F956BLIDAFA.,"Galaxy Z Fold6 5G",1,2799000
SM-L705FDAAXFA,"Samsung Galaxy Watch Ultra LTE 47mm Titânio/Cinza",1,899000
SM-S928BZKQAFA,"Galaxy S24 Ultra 5G DS 12+512GB PRETO",1,
,"Galaxy S24 Ultra 5G DS 12+512GB PRETO",1,2199000
